brief_id,model,language,clip_score
MB069,sd15,es,35.1669
MB069,flux,de,32.4168
MB069,flux,fr,27.8496
MB069,flux,es,35.1165
MB070,sd15,de,33.5562
MB070,sd15,fr,34.3082
MB070,sd15,es,26.2985
MB070,flux,de,33.0805
MB070,flux,fr,34.3077
MB070,flux,es,30.1231
MB071,sd15,de,20.9181
MB071,sd15,fr,24.6937
MB071,sd15,es,27.4733
MB071,flux,de,35.3791
MB071,flux,fr,38.014
MB071,flux,es,36.343
MB072,sd15,de,23.2521
MB072,sd15,fr,29.0442
MB072,sd15,es,31.4439
MB072,flux,de,33.1568
MB072,flux,fr,32.2068
MB072,flux,es,30.6077
MB073,sd15,de,22.3819
MB073,sd15,fr,30.3879
MB073,sd15,es,26.9381
MB073,flux,de,32.7201
MB073,flux,fr,38.9082
MB073,flux,es,27.206
MB074,sd15,de,31.9117
MB074,sd15,fr,29.2956
MB074,sd15,es,31.9968
MB074,flux,de,30.5556
MB074,flux,fr,29.1716
MB074,flux,es,28.6988
MB075,sd15,de,29.1542
MB075,sd15,fr,35.3387
MB075,sd15,es,29.883
MB075,flux,de,36.642
MB075,flux,fr,32.8928
MB075,flux,es,29.4128
MB076,sd15,de,29.086
MB076,sd15,fr,30.7201
MB076,sd15,es,29.4288
MB076,flux,de,35.614
MB076,flux,fr,24.1811
MB076,flux,es,36.827
MB077,sd15,de,33.9124
MB077,sd15,fr,35.6814
MB077,sd15,es,35.012
MB077,flux,de,34.2484
MB077,flux,fr,37.0829
MB077,flux,es,34.7552
MB078,sd15,de,31.415
MB078,sd15,fr,28.8917
MB078,sd15,es,31.3402
MB078,flux,de,32.7001
MB078,flux,fr,32.5921
MB078,flux,es,32.1895
MB079,sd15,de,26.6693
MB079,sd15,fr,26.219
MB079,sd15,es,23.8525
MB079,flux,de,32.3009
MB079,flux,fr,34.1154
MB079,flux,es,33.2844
MB080,sd15,de,32.7885
MB080,sd15,fr,35.1398
MB080,sd15,es,17.3884
MB080,flux,de,39.9788
MB080,flux,fr,37.3206
MB080,flux,es,33.0579
MB081,sd15,de,31.1559
MB081,sd15,fr,26.8781
MB081,sd15,es,28.5444
MB081,flux,de,27.682
MB081,flux,fr,32.8644
MB081,flux,es,32.1267
MB082,sd15,de,24.1026
MB082,sd15,fr,30.2209
MB082,sd15,es,30.1154
MB082,flux,de,30.9446
MB082,flux,fr,31.2078
MB082,flux,es,29.2942
MB083,sd15,de,25.0294
MB083,sd15,fr,28.1591
MB083,sd15,es,27.1572
MB083,flux,de,31.7306
MB083,flux,fr,33.6368
MB083,flux,es,34.52
MB084,sd15,de,35.3034
MB084,sd15,fr,25.391
MB084,sd15,es,34.7404
MB084,flux,de,31.3383
MB084,flux,fr,36.2587
MB084,flux,es,33.2102
MB085,sd15,de,24.4589
MB085,sd15,fr,27.9433
MB085,sd15,es,31.1769
MB085,flux,de,24.3871
MB085,flux,fr,30.9091
MB085,flux,es,23.1259
MB086,sd15,de,32.5689
MB086,sd15,fr,28.7494
MB086,sd15,es,31.674
MB086,flux,de,35.4834
MB086,flux,fr,30.286
MB086,flux,es,36.3148
MB087,sd15,de,17.7891
MB087,sd15,fr,32.2003
MB087,sd15,es,33.2593
MB087,flux,de,35.5897
MB087,flux,fr,34.4652
MB087,flux,es,36.5347
MB088,sd15,de,28.0568
MB088,sd15,fr,32.1162
MB088,sd15,es,33.6241
MB088,flux,de,18.4161
MB088,flux,fr,21.3632
MB088,flux,es,28.1419
MB089,sd15,de,26.7516
MB089,sd15,fr,27.15
MB089,sd15,es,25.7764
MB089,flux,de,36.8537
MB089,flux,fr,36.1111
MB089,flux,es,23.456
MB090,sd15,de,28.3991
MB090,sd15,fr,36.1862
MB090,sd15,es,31.6621
MB090,flux,de,33.1067
MB090,flux,fr,36.1853
MB090,flux,es,36.1345
MB091,sd15,de,25.907
MB091,sd15,fr,20.2622
MB091,sd15,es,29.841
MB091,flux,de,34.6438
MB091,flux,fr,33.6532
MB091,flux,es,28.0535
MB092,sd15,de,27.7122
MB092,sd15,fr,28.0771
MB092,sd15,es,32.266
MB092,flux,de,29.903
MB092,flux,fr,34.8119
MB092,flux,es,35.6156
MB093,sd15,de,26.1531
MB093,sd15,fr,28.4109
MB093,sd15,es,31.2082
MB093,flux,de,29.33
MB093,flux,fr,29.4885
MB093,flux,es,30.0474
MB094,sd15,de,34.4284
MB094,sd15,fr,27.5108
MB094,sd15,es,30.0333
MB094,flux,de,30.6302
MB094,flux,fr,33.7791
MB094,flux,es,31.7803
MB095,sd15,de,29.1865
MB095,sd15,fr,19.836
MB095,sd15,es,25.3463
MB095,flux,de,26.7491
MB095,flux,fr,30.5185
MB095,flux,es,29.5374
MB096,sd15,de,34.9365
MB096,sd15,fr,33.477
MB096,sd15,es,37.1972
MB096,flux,de,35.1999
MB096,flux,fr,32.2827
MB096,flux,es,37.3617
MB097,sd15,de,23.4472
MB097,sd15,fr,31.2231
MB097,sd15,es,30.499
MB097,flux,de,29.7795
MB097,flux,fr,31.8149
MB097,flux,es,31.3232
MB098,sd15,de,25.5743
MB098,sd15,fr,25.0513
MB098,sd15,es,30.3818
MB098,flux,de,33.1219
MB098,flux,fr,28.5521
MB098,flux,es,26.0669
MB099,sd15,de,24.5581
MB099,sd15,fr,31.7796
MB099,sd15,es,29.4965
MB099,flux,de,27.4637
MB099,flux,fr,34.9245
MB099,flux,es,36.059
MB100,sd15,de,30.7321
MB100,sd15,fr,27.6406
MB100,sd15,es,29.3781
MB100,flux,de,36.0907
MB100,flux,fr,35.5036
MB100,flux,es,34.2309
MB101,sd15,de,28.0179
MB101,sd15,fr,28.688
MB101,sd15,es,31.7312
