model,language,prompt_id,seed,source,category,clip_score,mclip_score
sd15,fr,DB019,42,DrawBench,Counting,28.37474,0.306609
sd15,fr,DB020,42,DrawBench,Counting,29.610741,0.297745
sd15,fr,DB021,42,DrawBench,Counting,30.309868,0.322988
sd15,fr,DB022,42,DrawBench,Counting,30.258322,0.313019
sd15,fr,DB023,42,DrawBench,Counting,27.79901,0.309045
sd15,fr,DB024,42,DrawBench,Counting,27.749434,0.284212
sd15,fr,DB025,42,DrawBench,Counting,32.276565,0.310539
sd15,fr,DB026,42,DrawBench,Counting,23.673275,0.253227
sd15,fr,DB027,42,DrawBench,Positional,32.375419,0.315163
sd15,fr,DB028,42,DrawBench,Positional,21.34217,0.236421
sd15,fr,DB029,42,DrawBench,Positional,30.691743,0.29295
sd15,fr,DB030,42,DrawBench,Positional,21.172546,0.244895
sd15,fr,DB031,42,DrawBench,Positional,27.638119,0.296568
sd15,fr,DB032,42,DrawBench,Positional,28.170034,0.299409
sd15,fr,DB033,42,DrawBench,Positional,28.884745,0.29355
sd15,fr,DB034,42,DrawBench,Positional,24.978398,0.303866
sd15,fr,DB035,42,DrawBench,Positional,28.976399,0.266425
sd15,fr,DB036,42,DrawBench,Positional,30.753499,0.312036
sd15,fr,DB037,42,DrawBench,Positional,24.44489,0.260989
sd15,fr,DB038,42,DrawBench,Positional,24.28188,0.231108
sd15,fr,DB039,42,DrawBench,Text,35.924286,0.342053
sd15,fr,DB040,42,DrawBench,Text,30.860662,0.314421
sd15,fr,DB041,42,DrawBench,Text,33.665952,0.319515
sd15,fr,DB042,42,DrawBench,Text,25.72099,0.274597
sd15,fr,DB043,42,DrawBench,Text,24.554753,0.278134
sd15,fr,DB044,42,DrawBench,Text,26.611903,0.292127
sd15,fr,DB045,42,DrawBench,Text,29.696634,0.31863
sd15,fr,DB046,42,DrawBench,Text,25.825667,0.251168
sd15,fr,DB047,42,DrawBench,Text,29.440916,0.29912
sd15,fr,DB048,42,DrawBench,Text,31.832224,0.316448
sd15,fr,DB049,42,DrawBench,Text,33.648193,0.356438
sd15,fr,DB050,42,DrawBench,Text,21.867368,0.239041
sd15,fr,GB001,42,GenAI-Bench,Spatial Relation,30.760363,0.320961
sd15,fr,GB002,42,GenAI-Bench,Spatial Relation,26.361772,0.251918
sd15,fr,GB003,42,GenAI-Bench,Spatial Relation,30.49145,0.321616
sd15,fr,GB004,42,GenAI-Bench,Spatial Relation,28.731611,0.333682
sd15,fr,GB005,42,GenAI-Bench,Spatial Relation,28.823236,0.2922
sd15,fr,GB006,42,GenAI-Bench,Spatial Relation,34.325644,0.367078
sd15,fr,GB007,42,GenAI-Bench,Spatial Relation,32.731146,0.303121
sd15,fr,GB008,42,GenAI-Bench,Spatial Relation,25.017348,0.255258
sd15,fr,GB009,42,GenAI-Bench,Spatial Relation,36.614713,0.366834
sd15,fr,GB010,42,GenAI-Bench,Spatial Relation,30.666035,0.31356
sd15,fr,GB011,42,GenAI-Bench,Spatial Relation,22.945094,0.2452
sd15,fr,GB012,42,GenAI-Bench,Spatial Relation,25.582448,0.267572
sd15,fr,GB013,42,GenAI-Bench,Spatial Relation,33.32358,0.321562
sd15,fr,GB014,42,GenAI-Bench,Spatial Relation,23.524293,0.26908
sd15,fr,GB015,42,GenAI-Bench,Spatial Relation,23.900032,0.273185
sd15,fr,GB016,42,GenAI-Bench,Spatial Relation,29.498151,0.300213
sd15,fr,GB017,42,GenAI-Bench,Spatial Relation,30.099505,0.320974
sd15,fr,GB018,42,GenAI-Bench,Spatial Relation,33.368161,0.376621
sd15,fr,GB019,42,GenAI-Bench,Spatial Relation,27.417281,0.261421
sd15,fr,GB020,42,GenAI-Bench,Spatial Relation,26.01071,0.293148
sd15,fr,GB021,42,GenAI-Bench,Spatial Relation,28.817323,0.306023
sd15,fr,GB022,42,GenAI-Bench,Spatial Relation,27.750289,0.260667
sd15,fr,GB023,42,GenAI-Bench,Spatial Relation,26.578361,0.254575
sd15,fr,GB024,42,GenAI-Bench,Spatial Relation,32.125401,0.305426
sd15,fr,GB025,42,GenAI-Bench,Spatial Relation,25.617078,0.301064
sd15,fr,GB026,42,GenAI-Bench,Attribute,28.232858,0.29711
sd15,fr,GB027,42,GenAI-Bench,Attribute,21.483524,0.20805
sd15,fr,GB028,42,GenAI-Bench,Attribute,24.111544,0.246587
sd15,fr,GB029,42,GenAI-Bench,Attribute,28.345001,0.309674
sd15,fr,GB030,42,GenAI-Bench,Attribute,31.135362,0.32602
sd15,fr,GB031,42,GenAI-Bench,Attribute,34.059021,0.295359
sd15,fr,GB032,42,GenAI-Bench,Attribute,24.136473,0.24162
